"계산방식","전략id","신호종목","실행상품코드","방향","진입ma","청산ma","추세ma","거래수","정상청산수","마감1519청산수","최대동시open","승률_pct","평균순수익률_pct","중앙순수익률_pct","평균보유분","최악거래_pct","최고거래_pct","누적복리손익","최종복리자본","누적복리수익률_pct"
"KRX_RESET","DS001788","SK하이닉스","0193T0","LONG","5/30","3/20","50","39","38","1","1","30.77","-0.2305","-0.4799","15.56","-1.7719","2.8492","-87870","912130","-8.7870"
"KRX_RESET","DS000250","SK하이닉스","0193T0","LONG","10/20","3/5","20","59","57","2","1","25.42","-0.1517","-0.3214","5.02","-1.2450","5.2213","-87879","912121","-8.7879"
"KRX_RESET","DS003624","SK하이닉스","0197X0","SHORT","10/20","5/30","50","67","62","5","2","35.82","-0.1249","-0.4684","23.43","-2.1275","4.9098","-88038","911962","-8.8038"
"KRX_RESET","DS002852","SK하이닉스","0197X0","SHORT","20/30","10/20","5","74","71","3","2","37.84","-0.1143","-0.4288","20.47","-3.2158","3.9611","-88418","911582","-8.8418"
"KRX_RESET","DS001391","삼성전자","0193L0","SHORT","10/30","5/10","30","50","48","2","2","34.00","-0.1833","-0.2000","10.68","-1.2586","2.3042","-88745","911255","-8.8745"
"KRX_RESET","DS002603","SK하이닉스","0193T0","LONG","5/20","10/20","30","61","56","5","2","32.79","-0.1410","-0.5385","19.20","-2.7206","5.5478","-89173","910827","-8.9173"
"KRX_RESET","DS004308","삼성전자","0193W0","LONG","20/30","10/30","50","54","49","5","3","27.78","-0.1639","-0.5417","22.85","-1.9695","5.5431","-89348","910652","-8.9348"
"KRX_RESET","DS000839","SK하이닉스","0197X0","SHORT","5/30","3/10","30","56","56","0","2","35.71","-0.1615","-0.3353","9.80","-1.9445","4.4133","-89371","910629","-8.9371"
"KRX_RESET","DS004772","SK하이닉스","0197X0","SHORT","20/30","20/30","5","74","68","6","1","39.19","-0.1093","-0.4447","29.19","-5.3405","5.3034","-89610","910390","-8.9610"
"KRX_RESET","DS003167","삼성전자","0193L0","SHORT","10/20","3/30","30","76","74","2","4","32.89","-0.1184","-0.2829","22.29","-2.1130","2.8050","-89911","910089","-8.9911"
"KRX_RESET","DS004740","삼성전자","0193W0","LONG","10/30","20/30","50","50","48","2","2","30.00","-0.1753","-0.4584","25.72","-2.8490","6.5107","-90130","909870","-9.0130"
