계산방식,전략id,신호종목,실행상품코드,방향,진입ma,청산ma,추세ma,거래수,정상청산수,마감1519청산수,최대동시open,승률_pct,평균순수익률_pct,중앙순수익률_pct,평균보유분,최악거래_pct,최고거래_pct,누적복리손익,최종복리자본,누적복리수익률_pct,mdd_pct
KRX_CONTINUOUS_AFTERNOON,DS004786,삼성전자,0193W0,LONG,20/30,20/30,20,79,55,24,2,30.38,-0.1902,-0.4583,20.30,-4.2604,5.5431,-150564,849436,-15.0564,-23.4863
KRX_CONTINUOUS_AFTERNOON,DS004582,SK하이닉스,0197X0,SHORT,10/20,20/30,20,67,40,27,3,37.31,-0.2234,-0.3638,22.49,-6.7765,6.0735,-150703,849297,-15.0703,-19.6044
KRX_CONTINUOUS_AFTERNOON,DS002818,삼성전자,0193W0,LONG,10/30,10/20,20,64,48,16,1,23.44,-0.2420,-0.6163,16.28,-2.7825,5.4544,-150746,849254,-15.0746,-20.2348
KRX_CONTINUOUS_AFTERNOON,DS000802,삼성전자,0193W0,LONG,3/30,3/10,20,83,75,8,2,36.14,-0.1907,-0.3180,8.52,-2.4411,4.1833,-150890,849110,-15.0890,-15.0890
KRX_CONTINUOUS_AFTERNOON,DS000384,삼성전자,0193L0,SHORT,5/30,3/5,50,65,59,6,1,29.23,-0.2494,-0.2395,4.72,-2.7333,1.8587,-151312,848688,-15.1312,-17.7257
KRX_CONTINUOUS_AFTERNOON,DS003728,삼성전자,0193W0,LONG,5/30,5/30,5,110,81,29,1,26.36,-0.1354,-0.5581,14.78,-2.0425,7.3307,-151343,848657,-15.1343,-20.8195
KRX_CONTINUOUS_AFTERNOON,DS003823,삼성전자,0193W0,LONG,20/30,5/30,NONE,88,59,29,2,27.27,-0.1696,-0.4186,18.97,-6.0029,5.7796,-151484,848516,-15.1484,-23.9809
KRX_CONTINUOUS_AFTERNOON,DS002736,삼성전자,0193L0,SHORT,3/30,10/20,50,69,48,21,3,33.33,-0.2154,-0.3372,17.78,-4.3705,5.0239,-151799,848201,-15.1799,-23.4946
KRX_CONTINUOUS_AFTERNOON,DS001414,SK하이닉스,0197X0,SHORT,20/30,5/10,20,84,76,8,2,40.48,-0.1808,-0.2335,10.20,-7.2248,6.3696,-152305,847695,-15.2305,-24.1749
KRX_CONTINUOUS_AFTERNOON,DS000454,SK하이닉스,0197X0,SHORT,20/30,3/5,20,84,81,3,2,34.52,-0.1904,-0.2162,5.70,-6.4150,3.5838,-152485,847515,-15.2485,-20.7053
KRX_CONTINUOUS_AFTERNOON,DS004114,삼성전자,0193W0,LONG,10/20,10/30,20,67,42,25,2,32.84,-0.2327,-0.5086,19.43,-4.0112,7.3307,-152971,847029,-15.2971,-22.1355
KRX_CONTINUOUS_AFTERNOON,DS001666,삼성전자,0193W0,LONG,5/20,3/20,20,74,60,14,1,32.43,-0.2168,-0.2889,11.97,-2.2034,5.9382,-153098,846902,-15.3098,-18.6969
KRX_CONTINUOUS_AFTERNOON,DS000082,삼성전자,0193W0,LONG,3/10,3/5,20,132,125,7,1,32.58,-0.1216,-0.2747,5.26,-2.3518,4.0644,-153169,846831,-15.3169,-22.9283
KRX_CONTINUOUS_AFTERNOON,DS002050,삼성전자,0193W0,LONG,5/10,5/20,20,126,102,24,5,31.75,-0.1195,-0.3830,14.96,-2.7974,6.2870,-153205,846795,-15.3205,-31.3653
KRX_CONTINUOUS_AFTERNOON,DS000886,SK하이닉스,0197X0,SHORT,10/30,3/10,20,68,64,4,2,39.71,-0.2354,-0.3013,9.54,-3.1592,3.6874,-153363,846637,-15.3363,-19.7878
KRX_CONTINUOUS_AFTERNOON,DS000130,삼성전자,0193W0,LONG,5/10,3/5,20,126,119,7,2,30.16,-0.1276,-0.2421,5.16,-1.9872,4.0644,-153378,846622,-15.3378,-22.1332
KRX_CONTINUOUS_AFTERNOON,DS000851,삼성전자,0193W0,LONG,5/30,3/10,30,49,46,3,1,26.53,-0.3344,-0.4579,7.27,-2.3700,2.7555,-153436,846564,-15.3436,-15.3436
KRX_CONTINUOUS_AFTERNOON,DS003778,삼성전자,0193W0,LONG,10/30,5/30,20,64,46,18,2,21.88,-0.2469,-0.6405,16.02,-2.5281,6.5107,-153822,846178,-15.3822,-20.7204
KRX_CONTINUOUS_AFTERNOON,DS002748,SK하이닉스,0193T0,LONG,5/30,10/20,50,45,30,15,2,35.56,-0.3565,-0.4956,15.20,-4.3068,4.0168,-154244,845756,-15.4244,-21.0752
KRX_CONTINUOUS_AFTERNOON,DS002267,SK하이닉스,0193T0,LONG,5/30,5/20,30,49,33,16,1,28.57,-0.3164,-0.5661,14.71,-5.3761,6.0569,-154336,845664,-15.4336,-19.8664
KRX_CONTINUOUS_AFTERNOON,DS004257,삼성전자,0193W0,LONG,10/30,10/30,10,83,55,28,1,26.51,-0.1867,-0.5279,18.61,-3.8390,6.5107,-154364,845636,-15.4364,-19.0897
KRX_CONTINUOUS_AFTERNOON,DS000911,삼성전자,0193L0,SHORT,10/30,3/10,30,43,39,4,1,30.23,-0.3863,-0.4750,8.07,-2.3401,1.1605,-154517,845483,-15.4517,-15.7597
KRX_CONTINUOUS_AFTERNOON,DS004247,SK하이닉스,0197X0,SHORT,10/30,10/30,30,44,31,13,1,38.64,-0.3658,-0.5999,21.64,-5.5671,4.9120,-154609,845391,-15.4609,-19.5289
KRX_CONTINUOUS_AFTERNOON,DS002724,삼성전자,0193W0,LONG,3/30,10/20,50,63,41,22,3,26.98,-0.2509,-0.4400,14.35,-2.6117,5.3151,-154724,845276,-15.4724,-21.9027
KRX_CONTINUOUS_AFTERNOON,DS003812,SK하이닉스,0197X0,SHORT,20/30,5/30,5,63,46,17,2,34.92,-0.2435,-0.7030,19.76,-3.3986,8.7813,-155008,844992,-15.5008,-15.8335
