"계산방식","전략id","신호종목","실행상품코드","방향","진입ma","청산ma","추세ma","거래수","정상청산수","마감1519청산수","최대동시open","승률_pct","평균순수익률_pct","중앙순수익률_pct","평균보유분","최악거래_pct","최고거래_pct","누적복리손익","최종복리자본","누적복리수익률_pct"
"KRX_CONTINUOUS","DS000515","삼성전자","0193W0","LONG","3/5","3/10","30","324","315","9","4","29.32","-0.2166","-0.3449","8.60","-3.2762","4.6843","-513323","486677","-51.3323"
"KRX_CONTINUOUS","DS004605","삼성전자","0193L0","SHORT","10/20","20/30","10","160","143","17","5","31.25","-0.4215","-0.3564","32.28","-9.1959","3.4332","-513667","486333","-51.3667"
"KRX_CONTINUOUS","DS003020","삼성전자","0193L0","SHORT","5/10","3/30","5","317","308","9","8","30.60","-0.2110","-0.3905","21.24","-5.7695","13.7559","-514352","485648","-51.4352"
"KRX_CONTINUOUS","DS003955","SK하이닉스","0197X0","SHORT","5/10","10/30","NONE","321","299","22","10","42.68","-0.1350","-0.2543","34.09","-12.9914","14.2347","-514490","485510","-51.4490"
"KRX_CONTINUOUS","DS001063","SK하이닉스","0193T0","LONG","5/10","5/10","NONE","278","270","8","2","30.58","-0.2526","-0.4004","9.01","-3.7368","6.9257","-514925","485075","-51.4925"
"KRX_CONTINUOUS","DS004340","SK하이닉스","0197X0","SHORT","3/5","20/30","5","316","293","23","9","37.66","-0.1734","-0.4310","32.34","-7.0013","16.2254","-515429","484571","-51.5429"
"KRX_CONTINUOUS","DS003055","삼성전자","0193W0","LONG","3/20","3/30","NONE","249","237","12","6","27.71","-0.2795","-0.4163","17.56","-4.1784","5.7096","-516048","483952","-51.6048"
"KRX_CONTINUOUS","DS000980","SK하이닉스","0197X0","SHORT","3/5","5/10","5","316","312","4","5","30.06","-0.2161","-0.5232","11.51","-4.1202","16.9177","-517472","482528","-51.7472"
"KRX_CONTINUOUS","DS003943","SK하이닉스","0193T0","LONG","5/10","10/30","NONE","278","251","27","7","32.37","-0.1927","-0.5709","32.31","-9.9849","11.2808","-518122","481878","-51.8122"
"KRX_CONTINUOUS","DS004508","삼성전자","0193L0","SHORT","3/20","20/30","5","198","180","18","6","33.84","-0.3410","-0.3461","31.13","-9.4331","13.4411","-518385","481615","-51.8385"
"KRX_CONTINUOUS","DS001483","삼성전자","0193L0","SHORT","3/5","3/20","NONE","712","685","27","14","33.43","-0.0802","-0.2527","17.66","-5.2651","13.8084","-518874","481126","-51.8874"
"KRX_CONTINUOUS","DS002901","SK하이닉스","0197X0","SHORT","3/5","3/30","10","324","311","13","7","31.79","-0.1969","-0.5203","20.70","-7.7155","17.1065","-520296","479704","-52.0296"
"KRX_CONTINUOUS","DS004495","삼성전자","0193W0","LONG","3/20","20/30","NONE","249","228","21","6","32.53","-0.2693","-0.4087","27.92","-5.0134","7.6623","-520719","479281","-52.0719"
"KRX_CONTINUOUS","DS004435","SK하이닉스","0197X0","SHORT","5/10","20/30","NONE","321","291","30","12","42.37","-0.1461","-0.2905","36.36","-13.1707","12.4235","-520884","479116","-52.0884"
"KRX_CONTINUOUS","DS003404","삼성전자","0193L0","SHORT","3/5","5/30","5","297","282","15","9","30.30","-0.2088","-0.4847","26.21","-13.1344","13.7559","-521358","478642","-52.1358"
"KRX_CONTINUOUS","DS002984","SK하이닉스","0193T0","LONG","5/10","3/30","5","264","252","12","6","30.68","-0.2532","-0.4729","20.80","-10.1837","10.5784","-521841","478159","-52.1841"
"KRX_CONTINUOUS","DS002436","삼성전자","0193W0","LONG","3/5","10/20","50","332","310","22","10","34.34","-0.2074","-0.4038","20.24","-3.6419","4.0918","-523098","476902","-52.3098"
