"계산방식","전략id","신호종목","실행상품코드","방향","진입ma","청산ma","추세ma","거래수","정상청산수","마감1519청산수","최대동시open","승률_pct","평균순수익률_pct","중앙순수익률_pct","평균보유분","최악거래_pct","최고거래_pct","누적복리손익","최종복리자본","누적복리수익률_pct"
"INTEGRATED_CONTINUOUS","DS001604","SK하이닉스","0197X0","SHORT","3/20","3/20","5","194","186","8","1","32.47","-0.0676","-0.4999","14.46","-3.2730","9.1716","-140176","859824","-14.0176"
"INTEGRATED_CONTINUOUS","DS003275","SK하이닉스","0193T0","LONG","10/30","3/30","30","43","41","2","2","25.58","-0.3395","-0.6403","21.16","-2.3829","4.0315","-140232","859768","-14.0232"
"INTEGRATED_CONTINUOUS","DS002711","SK하이닉스","0197X0","SHORT","3/30","10/20","30","82","76","6","2","31.71","-0.1630","-0.3905","21.28","-4.9962","10.6123","-140600","859400","-14.0600"
"INTEGRATED_CONTINUOUS","DS002563","SK하이닉스","0197X0","SHORT","3/20","10/20","NONE","218","206","12","3","38.53","-0.0412","-0.2540","20.90","-5.1716","12.3068","-140616","859384","-14.0616"
"INTEGRATED_CONTINUOUS","DS000384","삼성전자","0193L0","SHORT","5/30","3/5","50","77","75","2","2","23.38","-0.1951","-0.2987","4.62","-1.3424","3.1436","-140870","859130","-14.0870"
"INTEGRATED_CONTINUOUS","DS000645","SK하이닉스","0197X0","SHORT","3/20","3/10","10","167","162","5","2","36.53","-0.0807","-0.3100","10.16","-5.3553","4.9113","-140879","859121","-14.0879"
"INTEGRATED_CONTINUOUS","DS004188","SK하이닉스","0193T0","LONG","5/30","10/30","50","49","47","2","2","26.53","-0.2963","-0.5942","26.06","-2.7424","6.1472","-140987","859013","-14.0987"
"INTEGRATED_CONTINUOUS","DS004583","SK하이닉스","0197X0","SHORT","10/20","20/30","30","84","73","11","4","38.10","-0.1600","-0.2582","28.96","-7.8082","10.1819","-141178","858822","-14.1178"
"INTEGRATED_CONTINUOUS","DS000251","SK하이닉스","0193T0","LONG","10/20","3/5","30","66","65","1","1","22.73","-0.2262","-0.3211","4.55","-1.8073","5.9960","-141496","858504","-14.1496"
"INTEGRATED_CONTINUOUS","DS000683","SK하이닉스","0193T0","LONG","5/20","3/10","30","68","65","3","1","33.82","-0.2181","-0.4018","9.00","-2.5061","4.3739","-141513","858487","-14.1513"
"INTEGRATED_CONTINUOUS","DS001764","삼성전자","0193W0","LONG","3/30","3/20","50","95","91","4","3","31.58","-0.1506","-0.3811","15.27","-2.2852","5.1942","-141682","858318","-14.1682"
"INTEGRATED_CONTINUOUS","DS003058","삼성전자","0193W0","LONG","3/20","3/30","20","95","91","4","4","26.32","-0.1564","-0.4300","16.31","-1.5248","3.6046","-141999","858001","-14.1999"
"INTEGRATED_CONTINUOUS","DS000648","SK하이닉스","0197X0","SHORT","3/20","3/10","50","119","116","3","2","36.97","-0.1197","-0.3394","9.92","-3.2730","4.4133","-142260","857740","-14.2260"
"INTEGRATED_CONTINUOUS","DS004675","SK하이닉스","0197X0","SHORT","5/30","20/30","NONE","133","122","11","5","39.10","-0.0913","-0.3079","32.14","-6.9788","10.8390","-142868","857132","-14.2868"
"INTEGRATED_CONTINUOUS","DS000344","SK하이닉스","0193T0","LONG","5/30","3/5","5","122","119","3","2","33.61","-0.1214","-0.2960","5.34","-2.4837","5.3457","-142995","857005","-14.2995"
"INTEGRATED_CONTINUOUS","DS000248","SK하이닉스","0193T0","LONG","10/20","3/5","5","108","107","1","1","27.78","-0.1374","-0.3264","4.87","-2.1095","5.9960","-143240","856760","-14.3240"
"INTEGRATED_CONTINUOUS","DS004032","삼성전자","0193L0","SHORT","3/20","10/30","50","122","107","15","4","31.15","-0.1178","-0.3608","24.31","-4.3459","6.1795","-143405","856595","-14.3405"
"INTEGRATED_CONTINUOUS","DS000923","SK하이닉스","0193T0","LONG","20/30","3/10","30","47","47","0","2","19.15","-0.3255","-0.4628","8.13","-2.3516","2.6193","-143783","856217","-14.3783"
"INTEGRATED_CONTINUOUS","DS003790","삼성전자","0193L0","SHORT","10/30","5/30","20","85","82","3","2","25.88","-0.1698","-0.4847","22.85","-3.9143","7.7184","-143824","856176","-14.3824"
"INTEGRATED_CONTINUOUS","DS000370","삼성전자","0193W0","LONG","5/30","3/5","20","106","105","1","2","22.64","-0.1425","-0.3086","5.25","-1.6291","5.0766","-143981","856019","-14.3981"
"INTEGRATED_CONTINUOUS","DS000298","SK하이닉스","0193T0","LONG","3/30","3/5","20","86","84","2","1","31.40","-0.1766","-0.2801","5.48","-2.9320","3.1419","-144363","855637","-14.4363"
"INTEGRATED_CONTINUOUS","DS004078","삼성전자","0193L0","SHORT","5/20","10/30","20","69","64","5","4","33.33","-0.2200","-0.3461","25.36","-2.0450","3.3774","-144446","855554","-14.4446"
"INTEGRATED_CONTINUOUS","DS003707","SK하이닉스","0193T0","LONG","5/30","5/30","30","55","49","6","2","29.09","-0.2676","-0.6557","20.55","-2.7856","6.2717","-144540","855460","-14.4540"
"INTEGRATED_CONTINUOUS","DS002158","삼성전자","0193L0","SHORT","5/20","5/20","20","69","65","4","1","27.54","-0.2212","-0.3538","17.70","-2.2756","3.6569","-144692","855308","-14.4692"
"INTEGRATED_CONTINUOUS","DS000177","삼성전자","0193W0","LONG","3/20","3/5","10","157","154","3","1","29.30","-0.0948","-0.2445","5.07","-3.0298","5.4012","-144865","855135","-14.4865"
"INTEGRATED_CONTINUOUS","DS002291","삼성전자","0193W0","LONG","5/30","5/20","30","66","60","6","2","33.33","-0.2304","-0.4547","15.70","-2.2965","3.3648","-144871","855129","-14.4871"
"INTEGRATED_CONTINUOUS","DS001992","SK하이닉스","0197X0","SHORT","3/10","5/20","50","175","169","6","4","28.57","-0.0506","-0.5119","18.73","-5.1400","11.2317","-144930","855070","-14.4930"
